id,datetime,minor,size,comment,user,delta
75192733,2024-11-09 18:43:51+00:00,False,38452,/* Po 2022 */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",3.0
75192627,2024-11-09 18:27:19+00:00,False,38449,"drobne redakcyjne, drobne techniczne, ilustracja","{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-336.0
74629648,2024-08-27 18:42:47+00:00,False,38785,/* Współpraca wojskowa */ ilustracja,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",289.0
74536031,2024-08-13 16:25:14+00:00,True,38496,"/* Współpraca gospodarcza */ drobne merytoryczne, źródła/przypisy","{'id': 66882, 'name': 'TR'}",505.0
74524840,2024-08-11 18:28:08+00:00,False,37991,/* Polityka historyczna */ ilustracja,"{'id': 754434, 'name': 'Kazachstanski nygus'}",106.0
74431455,2024-07-28 21:56:46+00:00,False,37885,/* Lata 1945–1991 */ ilustracja,"{'id': 754434, 'name': 'Kazachstanski nygus'}",295.0
74429597,2024-07-28 21:21:12+00:00,False,37590,/* Historia */ wikizacja,"{'id': 754434, 'name': 'Kazachstanski nygus'}",10.0
74429554,2024-07-28 21:20:24+00:00,False,37580,/* Historia */ ilustracja,"{'id': 754434, 'name': 'Kazachstanski nygus'}",312.0
74247550,2024-07-11 19:18:59+00:00,False,37268,/* Polityka historyczna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",2.0
74225318,2024-07-08 15:59:07+00:00,False,37266,/* Współpraca wojskowa */ aktualizacja,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",575.0
74225277,2024-07-08 15:49:25+00:00,False,36691,/* Współpraca polityczna */ aktualizacja,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",414.0
74187094,2024-07-04 16:44:41+00:00,False,36277,/* Współpraca polityczna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-3.0
73755055,2024-05-11 13:14:28+00:00,False,36280,źródła/przypisy,"{'id': 357169, 'name': 'Alan ffm'}",361.0
73754828,2024-05-11 12:20:53+00:00,False,35919,treści na wolnej licencji,"{'id': 357169, 'name': 'Alan ffm'}",1619.0
73754616,2024-05-11 11:44:51+00:00,False,34300,treści na wolnej licencji,"{'id': 357169, 'name': 'Alan ffm'}",6023.0
73753799,2024-05-11 09:23:41+00:00,False,28277,"[[WP:SK]]+[[WP:SK/mSI|mSI.v2.1]]+[[WP:SK/ToS|ToS]]+[[WP:SK/Bn|Bn]], drobne redakcyjne, drobne techniczne","{'id': 357169, 'name': 'Alan ffm'}",-25.0
73503047,2024-04-13 20:07:52+00:00,False,28302,/* Polityka historyczna */ źródła/przypisy,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",24.0
73403443,2024-04-02 19:39:15+00:00,False,28278,"/* Współpraca polityczna */ lit., ort.","{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",17.0
73382512,2024-03-31 22:01:29+00:00,False,28261,Wycofano ostatnią zmianę treści (wprowadzoną przez [[Specjalna:Wkład/91.145.135.189|91.145.135.189]]) i przywrócono wersję 73336539 autorstwa Awiechec,"{'id': 443601, 'name': 'Xmichciox'}",-62.0
73382449,2024-03-31 22:00:19+00:00,False,28323,,"{'id': None, 'name': '91.145.135.189'}",62.0
73336539,2024-03-28 22:52:39+00:00,False,28261,/* Współpraca polityczna */ lit.,"{'id': 1149755, 'name': 'Awiechec'}",36.0
73334831,2024-03-28 19:36:16+00:00,True,28225,/* Współpraca polityczna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-14.0
73334816,2024-03-28 19:34:40+00:00,True,28239,/* Współpraca naukowa i kulturalna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",31.0
73334805,2024-03-28 19:34:00+00:00,False,28208,/* Współpraca polityczna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",1.0
73334782,2024-03-28 19:31:19+00:00,False,28207,/* Współpraca polityczna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-2903.0
72832327,2024-02-11 18:53:47+00:00,False,31110,/* Współpraca polityczna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-203.0
72832299,2024-02-11 18:51:33+00:00,False,31313,/* Współpraca polityczna */ fotografie,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",382.0
72832226,2024-02-11 18:44:57+00:00,False,30931,/* Współpraca polityczna */,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-2.0
72832219,2024-02-11 18:43:57+00:00,False,30933,/* Współpraca polityczna */ zwięźlej,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-1711.0
72756383,2024-02-03 12:22:06+00:00,False,32644,drobne techniczne,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-412.0
72756374,2024-02-03 12:21:22+00:00,False,33056,/* Współpraca polityczna */ konkretniej,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",62.0
72720004,2024-01-30 11:10:43+00:00,False,32994,"Tusk w Kijowie, reset relacji","{'id': 1061377, 'name': 'Nikodem62'}",887.0
72369590,2023-12-31 18:05:35+00:00,False,32107,"wizyta Zełeńskiego w Polsce, embargo na ukraińskie zboże, ochłodzenie w relacjach polsko-ukraińskich i blokada przejść granicznych","{'id': 1061377, 'name': 'Nikodem62'}",4082.0
71997871,2023-12-03 12:00:12+00:00,False,28025,/* Współpraca polityczna */,"{'id': None, 'name': '37.47.225.6'}",-1.0
71997855,2023-12-03 11:58:45+00:00,False,28026,/* Lata 1945–1991 */,"{'id': None, 'name': '37.47.225.6'}",1.0
71992984,2023-12-02 19:25:40+00:00,False,28025,Anulowanie wersji [[Special:Diff/71979170|71979170]] autorstwa [[Special:Contributions/2A01:11BF:304:CF00:71B0:C2C0:A0E5:D957|2A01:11BF:304:CF00:71B0:C2C0:A0E5:D957]] ([[User talk:2A01:11BF:304:CF00:71B0:C2C0:A0E5:D957|dyskusja]]) z opisanych już wcześniej powodów,"{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-4212.0
71979170,2023-11-30 19:45:51+00:00,False,32237,Anulowanie wersji [[Special:Diff/71944161|71944161]] autorstwa [[Special:Contributions/Kronikarz dyplomacji|Kronikarz dyplomacji]] ([[User talk:Kronikarz dyplomacji|dyskusja]]),"{'id': None, 'name': '2A01:11BF:304:CF00:71B0:C2C0:A0E5:D957'}",4212.0
71944161,2023-11-26 04:05:43+00:00,False,28025,"Anulowanie wersji [[Special:Diff/71937332|71937332]] autorstwa [[Special:Contributions/2A01:11BF:304:CF00:89F:2DAC:AAEF:59FE|2A01:11BF:304:CF00:89F:2DAC:AAEF:59FE]] ([[User talk:2A01:11BF:304:CF00:89F:2DAC:AAEF:59FE|dyskusja]]) fałszywe informacje o zerwaniu współpracy politycznej, temat embarga i strajku kierowców oczywiście może być, ale nie może być napisany językiem nagłówków prasowych","{'id': 1178196, 'name': 'Kronikarz dyplomacji'}",-4212.0
71937332,2023-11-25 13:38:47+00:00,False,32237,uaktualnienie,"{'id': None, 'name': '2A01:11BF:304:CF00:89F:2DAC:AAEF:59FE'}",4212.0
