id,datetime,minor,size,comment,user,delta
74854269,2024-09-29 09:12:09+00:00,True,61600,Wycofano edycję użytkownika [[Special:Contributions/188.146.122.173|188.146.122.173]] ([[User talk:188.146.122.173|dyskusja]]). Autor przywróconej wersji to [[User:Masti|Masti]].,"{'id': 94020, 'name': 'Hektor Absurdus'}",85.0
74853461,2024-09-29 05:02:08+00:00,False,61515,Przynależność,"{'id': None, 'name': '188.146.122.173'}",-85.0
74794579,2024-09-19 17:51:11+00:00,True,61600,Wycofano edycję użytkownika [[Special:Contributions/37.109.11.90|37.109.11.90]] ([[User talk:37.109.11.90|dyskusja]]). Autor przywróconej wersji to [[User:Gootector|Gootector]].,"{'id': 77940, 'name': 'Masti'}",85.0
74794573,2024-09-19 17:50:57+00:00,False,61515,,"{'id': None, 'name': '37.109.11.90'}",-85.0
73120811,2024-03-13 21:54:44+00:00,False,61600,/* Przynależność polityczno-administracyjna */ int.,"{'id': 624997, 'name': 'Gootector'}",2.0
73107902,2024-03-12 04:36:04+00:00,False,61598,/* Średniowiecze */ int.,"{'id': 624997, 'name': 'Gootector'}",2.0
72992532,2024-02-26 14:18:36+00:00,True,61596,int.,"{'id': 717975, 'name': 'EmptyBot'}",-2.0
72762407,2024-02-03 22:54:04+00:00,True,61598,"Zabezpieczono „[[Półwysep Krymski]]”: wojna ([edytowanie=Dozwolone tylko dla użytkowników automatycznie zatwierdzonych] (wygasa 22:54, 3 mar 2024 (UTC)) [przenoszenie=Dozwolone tylko dla użytkowników automatycznie zatwierdzonych] (wygasa 22:54, 3 mar 2024 (UTC)))","{'id': 82204, 'name': 'Ciacho5'}",0.0
72762406,2024-02-03 22:53:43+00:00,True,61598,Wycofano edycję użytkownika [[Special:Contributions/2600:1002:B024:BF1D:B95A:38B0:3D82:A21B|2600:1002:B024:BF1D:B95A:38B0:3D82:A21B]] ([[User talk:2600:1002:B024:BF1D:B95A:38B0:3D82:A21B|dyskusja]]). Autor przywróconej wersji to [[User:NiktWażny|NiktWażny]].,"{'id': 82204, 'name': 'Ciacho5'}",-12.0
72762391,2024-02-03 22:51:34+00:00,False,61610,,"{'id': None, 'name': '2600:1002:B024:BF1D:B95A:38B0:3D82:A21B'}",12.0
72760006,2024-02-03 18:58:56+00:00,True,61598,Wycofano edycję użytkownika [[Special:Contributions/83.25.80.200|83.25.80.200]] ([[User talk:83.25.80.200|dyskusja]]). Autor przywróconej wersji to [[User:Pamulab|Pamulab]].,"{'id': 1089398, 'name': 'NiktWażny'}",26.0
72760002,2024-02-03 18:57:55+00:00,False,61572,,"{'id': None, 'name': '83.25.80.200'}",-26.0
72436591,2024-01-08 10:04:12+00:00,False,61598,Wycofano ostatnią zmianę treści (wprowadzoną przez [[Specjalna:Wkład/GPodkolzin|GPodkolzin]]) i przywrócono wersję 71763971 autorstwa Co mam napisać. Jednostronna ocena polityczna. Brak źródła.,"{'id': 1103166, 'name': 'Pamulab'}",-105.0
72430267,2024-01-07 17:14:41+00:00,False,61703,wyjaśnienie,"{'id': 375503, 'name': 'GPodkolzin'}",105.0
71763971,2023-11-10 14:15:48+00:00,False,61598,,"{'id': 1072940, 'name': 'Co mam napisać'}",180.0
71695432,2023-11-04 22:35:22+00:00,False,61418,[[WP:NAC]],"{'id': 657584, 'name': 'Braniewiak'}",2.0
71692793,2023-11-04 18:46:28+00:00,False,61416,"drobne redakcyjne, jęz., int., lit., ort.","{'id': 1218848, 'name': 'OuroborosGD93'}",-7.0
71503985,2023-10-12 16:05:24+00:00,True,61423,Wycofano edycję użytkownika [[Special:Contributions/83.238.47.58|83.238.47.58]] ([[User talk:83.238.47.58|dyskusja]]). Autor przywróconej wersji to [[User:Anonimowy 2|Anonimowy 2]].,"{'id': 1106878, 'name': 'Dodawacz-i-korekta'}",1033.0
